CNAG_00050	Uncharacterized protein
CNAG_01793	Uncharacterized protein
CNAG_01467	Solute carrier family 35
CNAG_04561	Monooxygenase
CNAG_05548	Uncharacterized protein
CNAG_06036	Uncharacterized protein
CNAG_06895	Uncharacterized protein
CNAG_03153	Sec14 cytosolic factor
CNAG_06050	UDP-glucose 4-epimerase
CNAG_06669	Thiamine_BP domain-containing protein
CNAG_02948	Peptide chain release factor 1
CNAG_03698	E3 ubiquitin-protein ligase UBR7
CNAG_01511	Zn(2)-C6 fungal-type domain-containing protein
CNAG_06515	Uncharacterized protein
CNAG_05716	Yae1_N domain-containing protein
CNAG_00088	Prohibitin
CNAG_06602	Cysteine-type peptidase
CNAG_01692	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64)
CNAG_01594	Glycine cleavage system P protein (EC 1.4.4.2)
CNAG_07533	Uncharacterized protein
CNAG_04375	Hexaprenyl-diphosphate synthase
CNAG_01946	Allantoate permease
CNAG_04452	Small subunit ribosomal protein S18
CNAG_01429	BTP domain-containing protein
CNAG_03985	Grx4 family monothiol glutaredoxin
CNAG_01868	Protein KTI12
CNAG_02900	AB hydrolase-1 domain-containing protein
CNAG_08004	Uncharacterized protein
CNAG_03628	Uncharacterized protein
CNAG_04998	Uncharacterized protein
CNAG_01305	Methionyl-tRNA synthetase (EC 6.1.1.10)
CNAG_02574	Tubulin-specific chaperone D
CNAG_03643	Uncharacterized protein
CNAG_01385	Uncharacterized protein
CNAG_06613	Endoplasmic reticulum protein
CNAG_00981	Uncharacterized protein
CNAG_06500	Kinase (EC 2.7.-.-)
CNAG_07676	ATP-dependent RNA helicase DBP2-A
CNAG_02373	ATP-binding protein
CNAG_03018	Nuclear protein
CNAG_00188	ER membrane protein complex subunit 4
CNAG_05825	DNA replication licensing factor MCM7 (EC 3.6.4.12)
CNAG_02812	Ornithine carbamoyltransferase
CNAG_07573	DNA ligase (EC 6.5.1.1)
CNAG_01953	MFS domain-containing protein
CNAG_05195	Ubiquitin-conjugation factor E4 B
CNAG_04104	Mucin-desulfating sulfatase
CNAG_00712	G-patch_2 domain-containing protein
CNAG_00923	Membrane protein
CNAG_06428	Ubiquitin thioesterase OTU1 (EC 3.4.19.12)
CNAG_01923	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)
CNAG_06072	Chorismate mutase (EC 5.4.99.5)
CNAG_01299	Uncharacterized protein
CNAG_03902	Transcriptional regulatory protein
CNAG_03718	Mitochondrial intermediate peptidase (EC 3.4.24.59)
CNAG_05769	Cytoplasmic protein
CNAG_04298	Nucleolar complex-associated protein 3
CNAG_01346	Uncharacterized protein
CNAG_00937	Uncharacterized protein
CNAG_06718	Uncharacterized protein
CNAG_02975	Uncharacterized protein
CNAG_01504	Uncharacterized protein
CNAG_07522	Sec2p domain-containing protein
CNAG_01142	Endoplasmic reticulum protein
CNAG_03346	BZIP domain-containing protein
CNAG_07432	Uncharacterized protein
CNAG_07912	Uncharacterized protein
CNAG_01268	Uncharacterized protein
CNAG_01753	Uncharacterized protein
CNAG_02419	Uncharacterized protein
CNAG_02741	Mitochondrial intermediate peptidase (EC 3.4.24.59)
CNAG_07572	Elongator complex protein 3 (EC 2.3.1.-)
CNAG_04440	Thiamine pyrophosphokinase (EC 2.7.6.2)
CNAG_01028	t-SNARE coiled-coil homology domain-containing protein
CNAG_06288	RNA binding protein
CNAG_04473	Zn(2)-C6 fungal-type domain-containing protein
CNAG_02268	Nuclear membrane protein
CNAG_02809	tRNA-specific adenosine deaminase 3
CNAG_07670	SWIM-type domain-containing protein
CNAG_06454	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)
CNAG_04005	Cytoplasmic protein
CNAG_06829	Squalene monooxygenase (EC 1.14.14.17)
CNAG_01152	40S ribosomal protein S6
CNAG_05180	FHA domain-containing protein
CNAG_00110	Drf_GBD domain-containing protein
CNAG_05354	U4/U6.U5 tri-snRNP component SNU23
CNAG_02683	Uncharacterized protein
CNAG_07529	Threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)
CNAG_05109	CBS and PB1 domain-containing protein
CNAG_06724	DNA repair and recombination protein RAD52
CNAG_05496	2-isopropylmalate synthase
CNAG_03267	Splicing factor 3B subunit 2
CNAG_00390	Myotubularin
CNAG_07463	Separase (EC 3.4.22.49)
CNAG_07482	SCF-associated factor 1
CNAG_02398	DH domain-containing protein
CNAG_06197	Uncharacterized protein
CNAG_02208	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)
CNAG_06968	Uncharacterized protein
CNAG_02817	GTP-binding protein ypt2
CNAG_03377	Uncharacterized protein
CNAG_04897	Uncharacterized protein
CNAG_05447	Elongin-A
CNAG_00998	C2H2-type domain-containing protein
CNAG_03439	Uncharacterized protein
CNAG_05269	Proteasome subunit alpha type
CNAG_04155	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E)
CNAG_00922	Uncharacterized protein
CNAG_00747	Succinate--CoA ligase [ADP-forming] subunit beta
CNAG_03824	Solute carrier family 25 (Mitochondrial phosphate transporter)
CNAG_01918	Cytoskeletal regulatory protein binding protein
CNAG_01222	SAP domain-containing protein
CNAG_04868	Diphthamide synthase (EC 6.3.1.14) (Diphthamide synthetase) (Diphthine--ammonia ligase)
CNAG_03808	Aromatic amino acid aminotransferase I
CNAG_06137	Uncharacterized protein
CNAG_07556	Uncharacterized protein
CNAG_07322	RanBD1 domain-containing protein
CNAG_03651	Syntaxin 7
CNAG_03173	DNA damage-binding protein 1
CNAG_00649	Tryptophan synthase (EC 4.2.1.20)
CNAG_03946	Galactokinase (EC 2.7.1.6) (Galactose kinase)
CNAG_01794	2-hydroxyacid dehydrogenase
CNAG_02191	DNL-type domain-containing protein
CNAG_00471	Cytochrome c oxidase assembly factor 3
CNAG_04605	Sterol-4alpha-carboxylate 3-dehydrogenase (Decarboxylating)
CNAG_03885	Cytoplasmic protein (Fragment)
CNAG_03354	Ribosome biogenesis protein SLX9
CNAG_04531	Enoyl-CoA hydratase
CNAG_05068	GTP-binding protein ypt1
CNAG_03103	Cullin 3
CNAG_02160	DNA polymerase (EC 2.7.7.7)
CNAG_00420	Dolichol-phosphate mannosyltransferase subunit 3
CNAG_06679	Anthranilate synthase (EC 4.1.3.27)
CNAG_01565	Biotin-[acetyl-CoA-carboxylase] ligase
CNAG_06899	26S proteasome regulatory subunit RPN7
CNAG_00834	Phosphatidylserine decarboxylase
CNAG_07805	Insulysin
CNAG_07436	Uncharacterized protein
CNAG_03961	Uncharacterized protein
CNAG_02366	4-aminobutyrate aminotransferase (EC 2.6.1.19) (GABA aminotransferase) (Gamma-amino-N-butyrate transaminase)
CNAG_01364	Guanylate kinase (EC 2.7.4.8)
CNAG_06978	Cytoplasmic protein
CNAG_01384	MFS domain-containing protein
CNAG_03021	Uncharacterized protein
CNAG_00400	Secondary thiamine-phosphate synthase enzyme
CNAG_04973	Importin N-terminal domain-containing protein
CNAG_01800	Uncharacterized protein
CNAG_07928	Uncharacterized protein
CNAG_07340	Uncharacterized protein
CNAG_06404	Uncharacterized protein
CNAG_05390	Uncharacterized protein
CNAG_05974	Uncharacterized protein
CNAG_00813	Uncharacterized protein
CNAG_07870	Uncharacterized protein
CNAG_02434	Copper chaperone
CNAG_06926	MFS domain-containing protein
CNAG_05185	Uncharacterized protein
CNAG_07644	Uncharacterized protein
CNAG_03986	Nam9 protein
CNAG_06653	GAF domain-containing protein
CNAG_07858	Uncharacterized protein
CNAG_06504	Uncharacterized protein
CNAG_06410	ATP-dependent Clp protease proteolytic subunit
CNAG_07177	NADH dehydrogenase (Ubiquinone) Fe-S protein 3
CNAG_02685	Uncharacterized protein
CNAG_03243	2-nitropropane dioxygenase
CNAG_07972	Uncharacterized protein
CNAG_03128	Gamma-glutamyltransferase
CNAG_04295	Uncharacterized protein
CNAG_05471	Alpha-glucosidase
CNAG_03798	Uncharacterized protein
CNAG_02903	Alcohol dehydrogenase (NADP )
CNAG_03974	NmrA domain-containing protein
CNAG_06168	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)
CNAG_01319	CAP-Gly domain-containing protein
CNAG_02075	Uncharacterized protein
CNAG_06140	Long-chain fatty acid transporter
CNAG_03740	Uncharacterized protein
CNAG_07946	Uncharacterized protein
CNAG_07816	2-hydroxyacid dehydrogenase
CNAG_04397	Uncharacterized protein
CNAG_02794	Dihydroorotate dehydrogenase (quinone)
CNAG_03191	WD_REPEATS_REGION domain-containing protein
CNAG_00877	Adenylate kinase
CNAG_02528	Uncharacterized protein
CNAG_00104	Elongation factor 3
CNAG_03763	IQ domain-containing GTPase activating protein
CNAG_07634	Uncharacterized protein
CNAG_04997	Cytoplasmic protein
CNAG_03418	Exportin-1
CNAG_03523	Solute carrier family 25
CNAG_05416	Pre-mRNA-processing protein 45
CNAG_06181	Uncharacterized protein
CNAG_04062	Ribosome biogenesis protein ENP2
CNAG_00077	Solute carrier family 26 (Sodium-independent sulfate anion transporter)
CNAG_02565	Homoaconitase
CNAG_05717	Uncharacterized protein
CNAG_04108	Protein-serine/threonine kinase (EC 2.7.11.-)
CNAG_00396	AGC/PKA protein kinase
CNAG_03614	Uncharacterized protein
CNAG_01060	RRM domain-containing protein
CNAG_03543	RING-type domain-containing protein
CNAG_06862	Palmitoyltransferase (EC 2.3.1.225)
CNAG_03171	Wee protein kinase
CNAG_05539	Uncharacterized protein
CNAG_04224	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase
CNAG_00193	GATA type zinc finger protein asd-4
CNAG_01687	Non-specific serine/threonine protein kinase (EC 2.7.11.1)
CNAG_06568	RAN protein kinase
CNAG_05536	Uncharacterized protein
CNAG_00272	Uncharacterized protein
CNAG_04745	Uncharacterized protein
CNAG_04385	Uncharacterized protein
CNAG_04370	U3 small nucleolar RNA-associated protein 10
CNAG_04339	Exocyst complex component EXO84
CNAG_05439	CAMK/CAMK1/CAMK1-CMK protein kinase
CNAG_00363	Two-component system sensor protein
CNAG_00354	Vacuolar protein 8
CNAG_02749	Histone-lysine N-methyltransferase SUV420H
CNAG_04716	KH domain-containing protein
CNAG_01987	alpha-1
CNAG_02430	ABC transporter ABCC.6
CNAG_07878	Nucleolar complex protein 2
CNAG_00562	BTB domain-containing protein
CNAG_04742	DNA primase large subunit
CNAG_00270	Mitochondrial pyruvate carrier
CNAG_07669	Sorting nexin-3
CNAG_01268	Uncharacterized protein
CNAG_04189	Succinate dehydrogenase [ubiquinone] flavoprotein subunit
CNAG_05355	E3 ubiquitin-protein ligase (EC 2.3.2.26)
CNAG_05010	Uncharacterized protein
CNAG_05485	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61 (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase subunit TRM61)
CNAG_00566	DNA ligase 1
CNAG_05227	Uncharacterized protein
CNAG_03484	Kinetochore protein Mis13/DSN1
CNAG_00192	Zn(2)-C6 fungal-type domain-containing protein
CNAG_01055	Phospholipid transporter
CNAG_00415	CMGC/CDK protein kinase
CNAG_00972	PP28 domain-containing protein
CNAG_01143	U-box domain-containing protein
CNAG_05765	Ubiquitin-conjugating enzyme E2 J2
CNAG_00609	Uncharacterized protein
CNAG_04457	Zn(2)-C6 fungal-type domain-containing protein
CNAG_02776	Uncharacterized protein
CNAG_04003	Pumilio 2
CNAG_01958	Het-c2 protein
CNAG_06395	Uncharacterized protein
CNAG_01706	Uncharacterized protein
CNAG_04886	Uncharacterized protein
CNAG_05486	Importin N-terminal domain-containing protein
CNAG_02955	Uncharacterized protein
CNAG_07624	Uncharacterized protein
CNAG_01629	Multifunctional methyltransferase subunit TRM112
CNAG_04306	Protein transport protein SFT2
CNAG_05058	GTPase
CNAG_06592	Ubiquitin-conjugating enzyme E2 G1
CNAG_01487	Zn(2)-C6 fungal-type domain-containing protein
CNAG_05389	Sphinganine-1-phosphate aldolase
CNAG_01128	Glyoxalase II (EC 3.1.2.6)
CNAG_07697	Uncharacterized protein
CNAG_00364	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein KAE1) (tRNA threonylcarbamoyladenosine biosynthesis protein KAE1)
CNAG_05730	Acyl-protein thioesterase 1
CNAG_01604	TIGR01458 family HAD hydrolase
CNAG_06226	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex 5
CNAG_01124	HIT-type domain-containing protein
CNAG_03927	Uncharacterized protein
CNAG_01079	2
CNAG_01297	JmjC domain-containing protein
CNAG_03379	N-acetyltransferase 5
CNAG_07997	Uncharacterized protein
CNAG_07391	Uncharacterized protein
CNAG_01387	Uncharacterized protein
CNAG_00849	Uncharacterized protein
CNAG_01113	Uncharacterized protein
CNAG_05614	YbgI/family dinuclear metal center protein
CNAG_03396	NAD(+) diphosphatase (EC 3.6.1.22)
CNAG_02319	Uncharacterized protein
CNAG_02537	Uncharacterized protein
CNAG_05476	Uncharacterized protein
CNAG_02958	Ferroxidase
CNAG_07640	Uncharacterized protein
CNAG_02121	Uncharacterized protein
CNAG_03225	Malate dehydrogenase (EC 1.1.1.37)
CNAG_04106	Uncharacterized protein
CNAG_00792	ATP-binding cassette transporter
CNAG_06825	Uncharacterized protein
CNAG_03677	Uncharacterized protein
